Date & time of file creation	9/14/2021 8:58 PM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9.13.2021\SMR_25_DB_9.14.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9.13.2021\SMR_25_DB_9.14.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	2.79	75.23762376237624	0																																																														
Chamber 2	2.97	75.00000000000001																																																															
Chamber 3	3.27	74.76237623762377																																																															
Chamber 4	4.440	73.50151975683892																																																															
Chamber 5	2.72	75.24974721941356	0																																																														
Chamber 6	3.07	74.99019607843138																																																															
Chamber 7	5.23	72.74899598393574																																																															
Chamber 8	5.26	72.74525474525475																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
9/14/2021/9:09:34 PM	660	1	F480/W60/M120	363.1	-162.420	0.986	92.69	87.46	90.14	25.05	411.8	-196.910	0.976	92.66	85.97	89.77	25.05	287.1	-151.410	0.984	94.01	89.02	91.61	25.05	348.6	-254.592	0.992	91.13	82.53	86.78	25.05	285.7	-124.044	0.971	93.63	89.61	91.74	24.95	311.4	-153.393	0.975	93.70	88.27	90.94	24.95	202.4	-175.201	0.967	93.91	88.10	91.38	24.95	322.8	-281.805	0.986	90.60	79.53	84.87	24.95	25.06	0.00	0.00	24.98	0.00	0.00
9/14/2021/9:20:34 PM	1320	2	F480/W60/M120	334.1	-151.311	0.989	92.84	87.81	90.31	25.07	459.6	-221.834	0.956	92.26	85.35	89.27	25.07	227.5	-121.710	0.981	94.00	89.63	91.98	25.07	332.0	-244.322	0.996	91.39	82.93	87.27	25.07	272.4	-120.661	0.959	94.18	89.68	91.75	24.98	282.2	-141.316	0.970	93.29	88.15	90.87	24.98	238.0	-208.697	0.978	94.00	86.94	90.59	24.98	477.3	-419.497	0.986	91.13	78.64	85.22	24.98	25.09	0.00	0.00	25.01	0.00	0.00
9/14/2021/9:31:34 PM	1980	3	F480/W60/M120	313.7	-141.098	0.980	92.82	88.06	90.55	25.05	353.7	-169.864	0.976	92.84	87.62	90.24	25.05	244.5	-129.685	0.981	94.19	89.71	91.97	25.05	332.5	-243.682	0.995	91.40	83.12	87.46	25.05	256.7	-112.744	0.944	94.16	89.78	92.08	24.96	290.8	-144.558	0.969	93.53	88.35	91.06	24.96	242.1	-211.195	0.981	93.44	86.06	90.17	24.96	421.3	-369.347	0.992	90.90	79.38	85.46	24.96	25.07	0.00	0.00	24.99	0.00	0.00
9/14/2021/9:42:34 PM	2640	4	F480/W60/M120	317.8	-143.818	0.980	92.99	87.89	90.35	25.09	379.3	-183.114	0.957	93.02	86.50	90.33	25.09	299.9	-159.998	0.972	94.09	88.11	90.94	25.09	328.3	-241.510	0.996	91.45	83.26	87.40	25.09	250.2	-110.795	0.956	93.98	89.80	91.80	25.00	267.1	-133.710	0.973	93.44	88.89	91.37	25.00	258.2	-226.175	0.986	93.71	86.33	90.18	25.00	340.2	-299.261	0.987	91.07	81.04	86.43	25.00	25.10	0.00	0.00	25.03	0.00	0.00
9/14/2021/9:53:34 PM	3300	5	F480/W60/M120	527.7	-238.713	0.986	92.19	84.35	88.40	25.06	458.0	-221.349	0.970	90.90	83.08	87.44	25.06	563.0	-300.039	0.992	91.19	80.77	86.41	25.06	466.7	-343.365	0.988	90.86	78.89	85.32	25.06	626.0	-275.509	0.997	91.12	82.23	86.67	24.96	674.8	-336.026	0.995	91.56	80.57	85.99	24.96	266.7	-233.706	0.986	92.62	84.95	88.63	24.96	289.5	-254.975	0.993	90.28	81.55	85.82	24.96	25.08	0.00	0.00	25.01	0.00	0.00
9/14/2021/10:04:34 PM	3960	6	F480/W60/M120	816.3	-367.983	0.996	91.54	79.61	85.89	25.02	747.4	-359.847	0.993	90.67	78.74	84.78	25.02	584.6	-311.023	0.993	91.86	81.37	86.54	25.02	618.2	-453.741	0.976	88.70	72.89	79.82	25.02	707.0	-310.486	0.989	90.41	80.18	85.15	24.92	700.4	-348.277	0.996	91.19	79.66	85.28	24.92	566.2	-493.874	0.980	89.73	74.58	82.67	24.92	510.4	-447.862	0.994	89.07	73.84	81.48	24.92	25.04	0.00	0.00	24.98	0.00	0.00
9/14/2021/10:15:34 PM	4620	7	F480/W60/M120	434.9	-196.377	0.995	90.87	84.51	87.72	25.10	377.5	-182.065	0.982	92.24	85.74	88.93	25.10	439.5	-233.990	0.985	93.14	85.53	89.80	25.10	646.0	-474.495	0.998	89.03	73.57	81.34	25.10	352.7	-155.286	0.980	92.72	87.54	90.22	25.01	690.9	-343.641	0.989	92.28	81.47	87.18	25.01	385.1	-336.373	0.961	92.81	80.27	87.37	25.01	488.1	-428.586	0.996	91.16	77.23	83.82	25.01	25.07	0.00	0.00	25.00	0.00	0.00
9/14/2021/10:26:34 PM	5280	8	F480/W60/M120	390.6	-176.989	0.990	92.22	86.35	89.50	25.08	391.7	-189.450	0.987	93.17	86.40	89.97	25.08	334.3	-178.657	0.989	93.40	87.75	90.69	25.08	421.8	-310.445	0.998	90.52	80.30	85.27	25.08	299.4	-132.451	0.975	92.56	87.91	90.51	24.99	489.7	-244.203	0.992	92.20	83.96	88.03	24.99	573.6	-501.013	0.991	91.16	75.86	83.58	24.99	370.1	-325.563	0.978	91.70	80.46	86.66	24.99	25.10	0.00	0.00	25.04	0.00	0.00
