Date & time of file creation	12/9/2021 3:50 PM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_12_1_2021\empty_post_12.9.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_12_1_2021\empty_post_12.9.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	22.38	294.3939393939394	0																																																														
Chamber 2	19.330	297.4747474747475																																																															
Chamber 3	13.6	302.97938144329896																																																															
Chamber 4	23.17	294.05940594059405																																																															
Chamber 5	19.420	297.38383838383834	0																																																														
Chamber 6	20.1	296.9																																																															
Chamber 7	17.010	299.98999999999995																																																															
Chamber 8	15.56	301.44																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
12/9/2021/4:30:10 PM	2377	1	F480/W60/M300	107.9	-111.601	1.000	88.73	59.60	74.01	31.02	119.1	-105.346	0.999	89.37	61.34	74.84	31.02	176.1	-107.576	0.999	88.86	60.43	74.24	31.02	99.1	-106.305	0.999	89.47	61.01	74.77	31.02	114.1	-101.447	0.999	88.06	61.22	74.31	31.02	113.2	-104.326	0.999	87.42	59.81	73.25	31.02	129.3	-99.824	0.991	90.56	66.64	79.90	31.02	154.9	-108.783	0.999	87.91	59.06	73.06	31.02	31.00	31.00	0.00	24.44	31.00	0.00
12/9/2021/4:44:10 PM	3217	2	F480/W60/M300	110.0	-112.968	0.999	87.94	78.59	83.35	31.08	129.4	-113.598	0.999	88.57	79.02	83.77	31.08	188.4	-114.260	0.999	88.48	78.96	83.75	31.08	107.9	-114.912	0.997	88.87	78.96	83.84	31.08	124.4	-109.789	0.999	87.64	78.50	83.06	31.08	123.6	-113.054	0.999	87.25	77.85	82.41	31.08	145.6	-111.540	0.999	87.90	78.60	83.15	31.08	170.2	-118.752	0.999	87.58	77.79	82.71	31.08	31.07	31.00	0.00	24.95	31.00	0.00
12/9/2021/4:58:10 PM	4057	3	F480/W60/M300	105.4	-108.848	0.999	88.00	78.93	83.58	30.97	125.2	-110.453	0.999	88.42	79.38	83.92	30.97	182.5	-111.254	0.999	88.57	79.40	83.90	30.97	104.4	-111.745	0.997	88.76	79.48	84.11	30.97	120.0	-106.459	0.999	87.73	78.99	83.34	30.97	120.1	-110.444	0.999	87.47	78.30	82.78	30.97	140.7	-108.344	0.999	88.10	78.77	83.39	30.97	163.4	-114.544	0.999	87.82	78.35	82.98	30.97	31.03	31.00	0.00	30.91	31.00	0.00
